"DT";"DEAL_ID";"BALMAIN";"BALPRMN";"PRODUCT";"CURCODENUM";"CURCODE";"DOCBEGINDATE";"ENDDATEWOPROLONG";"ENDDATEWITHPROLONG";"OVERDUETERMMAINDAY";"OVERDUETERMPERCDAY";"OVERDUEDATEMAIN";"OVERDUEDATEPERC";"DOCSUMCUR";"DOCSUMRUR";"MAINRESTCUR";"MAINRESTRUR";"PRMNRESTCUR";"PRMNRESTRUR";"DOCPROCRATE";"SUMNACHPERCBALCUR";"SUMNACHPERCBALRUR";"SUMPRPERCBALCUR";"SUMPRPERCBALRUR";"RISKGROUP254";"RESERVERATERPBU";"SUMRESERVEMAINRPBU";"SUMRESERVEPRMNRPBU";"SUMRESERVEPRMN";"SUMRESERVEPRPR"
31.03.2020;30632369;;;"Пенсионеры";"810";"Рубли";06.11.2014;20.11.2017;20.11.2017;;833;;20.12.2017;84000;84000;;;;;0;;;24083.58;24083.58;"5";100;;;;24083.58
31.03.2020;30741234;;"45815";"Пенсионеры";"810";"Рубли";12.11.2014;20.11.2017;20.11.2017;1525;1525;28.01.2016;28.01.2016;100000;100000;;;71338.16;71338.16;25.5;546.73;546.73;78304.89;78304.89;"5";100;;71338.16;546.73;78304.89
31.03.2020;30809424;;"45815";"Пенсионеры";"810";"Рубли";18.11.2014;20.11.2017;20.11.2017;1412;1351;20.05.2016;20.07.2016;73000;73000;;;42506.2;42506.2;25.5;325.77;325.77;41199.78;41199.78;"5";100;;42506.2;325.77;41199.78
31.03.2020;30810049;;"45815";"Пенсионеры";"810";"Рубли";18.11.2014;20.11.2017;20.11.2017;1492;1492;01.03.2016;01.03.2016;65000;65000;;;44409.76;44409.76;25.5;340.35;340.35;47785.43;47785.43;"5";100;;44409.76;340.35;47785.43
31.03.2020;30811081;;"45815";"Пенсионеры";"810";"Рубли";18.11.2014;21.11.2016;21.11.2016;1259;1259;20.10.2016;20.10.2016;70000;70000;;;6438.02;6438.02;23.9;46.24;46.24;5485.68;5485.68;"5";100;;6438.02;46.24;5485.68
31.03.2020;30844160;;"45815";"Пенсионеры";"810";"Рубли";20.11.2014;20.11.2017;20.11.2017;1686;1654;20.08.2015;21.09.2015;100000;100000;;;80393.29;80393.29;25.5;616.13;616.13;95078.34;95078.34;"5";100;;80393.29;616.13;95078.34
31.03.2020;30894362;;"45815";"Пенсионеры";"810";"Рубли";25.11.2014;20.11.2017;20.11.2017;1472;1442;21.03.2016;20.04.2016;64000;64000;;;30559.8;30559.8;25.5;234.21;234.21;31596.9;31596.9;"5";100;;30559.8;234.21;31596.9
31.03.2020;31114161;;"45815";"Пенсионеры";"810";"Рубли";08.12.2014;20.12.2016;20.12.2016;1498;1498;24.02.2016;24.02.2016;100000;100000;;;51438.25;51438.25;23.9;369.48;369.48;51894.45;51894.45;"5";100;;51438.25;369.48;51894.45
31.03.2020;31126983;;"45815";"Пенсионеры";"810";"Рубли";09.12.2014;20.12.2017;20.12.2017;954;954;21.08.2017;21.08.2017;29000;29000;;;5355.57;5355.57;25.5;38.47;38.47;3541.13;3541.13;"5";100;;5355.57;38.47;3541.13
31.03.2020;31147321;;"45815";"Пенсионеры";"810";"Рубли";10.12.2014;20.12.2017;20.12.2017;1283;1563;26.09.2016;21.12.2015;73000;73000;;;26955.02;26955.02;25.5;193.62;193.62;44147.55;44147.55;"5";100;;26955.02;193.62;44147.55
31.03.2020;31206506;;"45815";"Пенсионеры";"810";"Рубли";15.12.2014;20.12.2017;20.12.2017;1867;1808;20.02.2015;20.04.2015;100000;100000;;;97115.34;97115.34;25.5;744.28;744.28;123150.26;123150.26;"5";100;;97115.34;744.28;123150.26
31.03.2020;31206680;;"45815";"Пенсионеры";"810";"Рубли";15.12.2014;20.12.2017;20.12.2017;1498;1498;24.02.2016;24.02.2016;100000;100000;;;71137.24;71137.24;25.5;510.99;510.99;72976.64;72976.64;"5";100;;71137.24;510.99;72976.64
31.03.2020;31504679;;"45815";"Пенсионеры";"810";"Рубли";29.12.2014;20.12.2017;20.12.2017;1625;1625;20.10.2015;20.10.2015;75000;75000;;;59917.22;59917.22;29.9;430.39;430.39;66804.06;66804.06;"5";100;;59917.22;430.39;66804.06
31.03.2020;32307651;;"45815";"Пенсионеры";"810";"Рубли";14.01.2015;20.01.2017;20.01.2017;1381;1381;20.06.2016;20.06.2016;62000;62000;;;24116.29;24116.29;29.9;173.23;173.23;23070.36;23070.36;"5";100;;24116.29;173.23;23070.36
31.03.2020;33658158;;"45815";"Пенсионеры";"810";"Рубли";21.01.2015;22.01.2018;22.01.2018;1136;1136;20.02.2017;20.02.2017;70000;70000;;;28732.29;28732.29;29.9;;;5404.43;5404.43;"5";100;;28732.29;;5404.43
31.03.2020;33721082;;"45815";"Пенсионеры";"810";"Рубли";26.01.2015;22.01.2018;22.01.2018;1288;1288;21.09.2016;21.09.2016;100000;100000;;;55289.2;55289.2;29.9;397.15;397.15;50554.3;50554.3;"5";100;;55289.2;397.15;50554.3
31.03.2020;34538190;;"45815";"Пенсионеры";"810";"Рубли";03.02.2015;20.02.2018;20.02.2018;1318;1318;22.08.2016;22.08.2016;96000;96000;;;60851.87;60851.87;29.9;546.84;546.84;67732.67;67732.67;"5";100;;60851.87;546.84;67732.67
31.03.2020;34556993;;"45815";"Пенсионеры";"810";"Рубли";04.02.2015;20.02.2018;20.02.2018;1686;1686;20.08.2015;20.08.2015;119000;119000;;;107502.39;107502.39;29.9;966.06;966.06;151922.76;151922.76;"5";100;;107502.39;966.06;151922.76
