"REP_DT";"DEAL_ID";"PRNT_DEAL_ID";"DEAL_TYPE";"ACCT_BACC";"ACCT_NUMBER24";"CRT_CRNC_ACC";"CRT_CRNC";"CRT_FD";"CRT_TD";"CRT_TD1";"EX";"EX10";"EXF";"EXF10";"CRT_SUM";"CRT_SUM_RUR";"CURRATE";"SUM_RUR13";"SUM_RUR24";"RATE";"SUM_RUR47427";"SUM_RUR459";"GROUP_NUM";"COUNTREZ_PCT";"SUM_RUR5";"SUM_RUR6";"SUM_RUR47425";"SUM_RUR45918"
31.03.2020;1120222029;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";01.08.2017;02.02.2018;02.02.2018;789;853;789;763;355156.9;355156.9;1;0;355156.9;0.16;0;85782.55;"5";1;0;355156.9;0;85782.55
31.03.2020;1142958128;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";02.08.2017;02.02.2018;02.02.2018;789;853;789;763;470593.95;470593.95;1;0;470593.95;0.16;0;113664.56;"5";1;0;470593.95;0;113664.56
31.03.2020;1168136301;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";03.08.2017;02.02.2018;02.02.2018;789;853;789;763;108467.4;108467.4;1;0;108467.4;0.16;0;26198.59;"5";1;0;108467.4;0;26198.59
31.03.2020;1190930499;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";04.08.2017;02.02.2018;02.02.2018;789;853;789;763;733934.58;733934.58;1;0;733934.58;0.16;0;177270.34;"5";1;0;733934.58;0;177270.34
31.03.2020;1259298394;63088679;"2Транш";"45205";"45812";"Рубли";"Рубли";07.08.2017;02.02.2018;02.02.2018;789;853;789;763;107712.57;107712.57;1;0;107712.57;0.16;0;26016.27;"5";1;0;107712.57;0;26016.27
31.03.2020;1281442933;63088679;"2Транш";"45205";"45812";"Рубли";"Рубли";08.08.2017;02.02.2018;02.02.2018;789;853;789;763;313696.82;313696.82;1;0;313696.82;0.16;0;75768.53;"5";1;0;313696.82;0;75768.53
31.03.2020;1306705175;63088679;"2Транш";"45205";"45812";"Рубли";"Рубли";09.08.2017;02.02.2018;02.02.2018;789;853;789;763;169553.85;169553.85;1;0;169553.85;0.16;0;40953.06;"5";1;0;169553.85;0;40953.06
31.03.2020;1331302204;63088679;"2Транш";"45205";"45812";"Рубли";"Рубли";10.08.2017;02.02.2018;02.02.2018;789;853;789;763;41619;41619;1;0;41619;0.16;0;10052.41;"5";1;0;41619;0;10052.41
31.03.2020;1353490651;63088679;"2Транш";"45205";"45812";"Рубли";"Рубли";11.08.2017;02.02.2018;02.02.2018;789;853;789;763;203500.59;203500.59;1;0;203500.59;0.16;0;49152.36;"5";1;0;203500.59;0;49152.36
31.03.2020;1422764526;63088679;"2Транш";"45205";"45812";"Рубли";"Рубли";14.08.2017;02.02.2018;02.02.2018;789;853;789;763;477292.12;477292.12;1;0;477292.12;0.16;0;115282.39;"5";1;0;477292.12;0;115282.39
